TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Theft from Vehicle,2019,3,30,20,0,3XX E CORDOVA ST,Strathcona,492969.1,5458830.98
Theft of Bicycle,2019,6,7,16,0,12XX ARBUTUS ST,Kitsilano,488943.76,5458051.15
Mischief,2019,1,10,17,30,2X W HASTINGS ST,Central Business District,492367.14,5458760.01
Theft from Vehicle,2019,1,2,22,0,8XX KINGSWAY AVE,Kensington-Cedar Cottage,493724.5,5455804.99
Mischief,2019,7,13,21,0,2X WATER ST,Central Business District,492387.04,5458991.66
Offence Against a Person,2019,5,9,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft from Vehicle,2019,1,17,15,30,31XX E 24TH AVE,Renfrew-Collingwood,497155.01,5455105.95
Mischief,2019,5,19,5,1,2XX ABBOTT ST,Central Business District,492251.08,5459001.17
Mischief,2019,6,22,16,51,2XX ABBOTT ST,Central Business District,492255,5459016.19
Mischief,2019,7,18,17,16,2XX ABBOTT ST,Central Business District,492255.56,5459018.34
Mischief,2019,4,30,2,0,2XX ABBOTT ST,Central Business District,492257.12,5458988.13
Theft from Vehicle,2019,2,1,23,0,23XX CYPRESS ST,Kitsilano,489231.64,5456976.33
Other Theft,2019,7,2,5,38,10XX HOMER ST,Central Business District,491156.62,5458191.08
Mischief,2019,5,1,23,20,2XX ABBOTT ST,Central Business District,492262,5459006.8
Mischief,2019,5,8,8,50,78XX SHAUGHNESSY ST,Marpole,490621.38,5451211.37
Mischief,2019,6,25,13,57,COMMERCIAL DR / E 6TH AVE,Grandview-Woodland,494926.14,5456926.39
Mischief,2019,7,7,22,49,2XX ABBOTT ST,Central Business District,492262,5459006.8
Mischief,2019,1,10,18,5,2XX ABBOTT ST,Central Business District,492262.17,5459007.44
Mischief,2019,2,12,18,51,2XX ABBOTT ST,Central Business District,492262.17,5459007.44
Theft of Bicycle,2019,4,19,21,48,34XX E HASTINGS ST,Hastings-Sunrise,497820.99,5458705.24
Mischief,2019,2,20,0,56,2XX ABBOTT ST,Central Business District,492262.17,5459007.44
Theft from Vehicle,2019,4,12,17,30,31XX E 28TH AVE,Renfrew-Collingwood,497240.54,5454731.11
Theft of Bicycle,2019,3,1,0,0,11XX W PENDER ST,Central Business District,491052.65,5459503.63
Mischief,2019,3,15,9,15,2XX ALEXANDER ST,Strathcona,492767.89,5459039.2
Offence Against a Person,2019,5,11,,,OFFSET TO PROTECT PRIVACY,,0,0
Mischief,2019,1,8,18,30,2XX ALEXANDER ST,Strathcona,492881.04,5459035.15
Theft of Bicycle,2019,6,17,8,0,11XX W PENDER ST,Central Business District,491035.88,5459521.3
Theft of Bicycle,2019,6,10,9,45,11XX W HASTINGS ST,Central Business District,491267.09,5459489.63
Theft from Vehicle,2019,7,11,11,45,5XX CAMBIE ST,Central Business District,491996.52,5458752.99
Mischief,2019,2,14,18,15,2XX BURRARD ST,Central Business District,491602.1,5459484.49
Mischief,2019,3,13,10,30,2XX BURRARD ST,Central Business District,491602.1,5459484.49
Mischief,2019,5,7,17,5,2XX CAMBIE ST,Central Business District,492089.49,5459063.91
Mischief,2019,5,8,23,43,2XX CAMBIE ST,Central Business District,492089.49,5459063.91
Mischief,2019,6,8,1,6,2XX CAMBIE ST,Central Business District,492089.49,5459063.91
Mischief,2019,5,26,0,1,2XX CARRALL ST,Central Business District,492424.33,5458958.35
Mischief,2019,3,16,0,21,2XX CARRALL ST,Central Business District,492424.37,5458959.52
Mischief,2019,2,16,23,55,2XX CARRALL ST,Central Business District,492424.78,5458973.51
Offence Against a Person,2019,5,2,,,OFFSET TO PROTECT PRIVACY,,0,0
Mischief,2019,1,8,5,57,2XX CLARK DR,Grandview-Woodland,494405.6,5458894.17
Mischief,2019,1,13,9,7,2XX COLUMBIA ST,Central Business District,492563.56,5458937.23
Mischief,2019,1,19,22,16,78XX MAIN ST,Sunset,492561.88,5451234.44
Theft from Vehicle,2019,5,6,16,0,3XX E CORDOVA ST,Strathcona,492969.1,5458830.98
Mischief,2019,4,19,13,37,78XX LEASIDE ST,Victoria-Fraserview,494965.23,5451126.87
Mischief,2019,2,23,15,11,78XX LEASIDE ST,Victoria-Fraserview,494965.23,5451126.87
Other Theft,2019,2,7,9,28,6XX E HASTINGS ST,Strathcona,493365.46,5458723.95
Mischief,2019,5,25,20,0,2XX COLUMBIA ST,Central Business District,492572.89,5458943.03
Other Theft,2019,5,16,13,50,10XX ALBERNI ST,West End,491065.3,5459129.54
Theft from Vehicle,2019,5,22,13,0,45XX W 6TH AVE,West Point Grey,484791.89,5457186.72
Other Theft,2019,3,7,10,3,7XX GRANVILLE ST,Central Business District,491396.06,5458846.22
Mischief,2019,6,25,1,15,2XX COLUMBIA ST,Central Business District,492572.89,5458943.03
Mischief,2019,4,27,22,30,2XX DAVIE ST,Central Business District,491148.04,5457944.77
Offence Against a Person,2019,7,5,,,OFFSET TO PROTECT PRIVACY,,0,0
Mischief,2019,6,12,12,12,2XX DUNLEVY AVE,Strathcona,493061.67,5458907.62
Offence Against a Person,2019,6,21,,,OFFSET TO PROTECT PRIVACY,,0,0
Offence Against a Person,2019,6,19,,,OFFSET TO PROTECT PRIVACY,,0,0
Break and Enter Residential/Other,2019,7,14,7,49,1XX W 12TH AVE,Mount Pleasant,492173.98,5456395.96
Mischief,2019,6,21,1,35,2XX DUNLEVY AVE,Strathcona,493061.67,5458907.62
Theft from Vehicle,2019,2,18,21,0,23XX CLARK DR,Grandview-Woodland,494366.91,5456829.88
Theft of Bicycle,2019,6,19,0,0,60XX TISDALL ST,Oakridge,491138.18,5453057.06
Mischief,2019,3,15,14,22,2XX E 15TH AVE,Mount Pleasant,492774.54,5456088.82
Mischief,2019,4,22,19,0,2XX E 1ST AVE,Mount Pleasant,492686.25,5457484.65
Mischief,2019,5,19,13,0,2XX E 22ND AVE,Riley Park,492653.15,5455377
Theft of Bicycle,2019,2,15,19,0,11XX W 55TH AVE,Oakridge,490468.56,5451962.73
Offence Against a Person,2019,4,14,,,OFFSET TO PROTECT PRIVACY,,0,0
Offence Against a Person,2019,4,14,,,OFFSET TO PROTECT PRIVACY,,0,0
Mischief,2019,3,1,18,0,2XX E 23RD AVE,Riley Park,492761.98,5455283.33
Theft of Bicycle,2019,6,6,8,30,11XX W 14TH AVE,Fairview,490486.54,5456227.79
Other Theft,2019,4,23,18,0,1XX WATER ST,Central Business District,492201.32,5459032.17
Offence Against a Person,2019,2,7,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft from Vehicle,2019,5,22,23,0,45XX W 7TH AVE,West Point Grey,484788.99,5457093.4
Mischief,2019,2,2,12,12,2XX E 57TH AVE,Sunset,492605.53,5451741.91
Offence Against a Person,2019,3,5,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft from Vehicle,2019,5,11,22,0,31XX E 29TH AVE,Renfrew-Collingwood,497266.95,5454644.07
Offence Against a Person,2019,6,28,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft from Vehicle,2019,3,28,21,50,45XX W 8TH AVE,West Point Grey,484695.2,5457007.57
Theft from Vehicle,2019,1,7,11,45,23XX CASSIAR ST,Hastings-Sunrise,497747.83,5456715.63
Mischief,2019,2,24,23,30,2XX E 6TH AVE,Mount Pleasant,492670.21,5456971.52
Mischief,2019,1,21,21,36,2XX E 6TH AVE,Mount Pleasant,492681.44,5456980.31
Mischief,2019,4,30,23,11,2XX E 6TH AVE,Mount Pleasant,492739.91,5456969.27
Offence Against a Person,2019,7,9,,,OFFSET TO PROTECT PRIVACY,,0,0
Mischief,2019,2,19,18,24,2XX E CORDOVA ST,Strathcona,492755.56,5458837.44
Theft of Vehicle,2019,6,19,18,0,14XX E 3RD AVE,Grandview-Woodland,494517.23,5457229.26
Other Theft,2019,4,6,11,3,1XX WATER ST,Central Business District,492203.68,5459041
Mischief,2019,5,13,18,23,2XX E CORDOVA ST,Strathcona,492755.56,5458837.44
Mischief,2019,7,6,21,7,2XX E CORDOVA ST,Strathcona,492810.31,5458835.85
Mischief,2019,6,23,0,0,2XX E CORDOVA ST,Strathcona,492815.76,5458835.7
Offence Against a Person,2019,1,16,,,OFFSET TO PROTECT PRIVACY,,0,0
Mischief,2019,3,20,14,15,COMMERCIAL DR / E 3RD AVE,Grandview-Woodland,494930.89,5457228.01
Mischief,2019,7,11,10,12,2XX E CORDOVA ST,Strathcona,492848.7,5458843.89
Theft from Vehicle,2019,5,27,23,0,5XX BUTE ST,Central Business District,491027.78,5459513.93
Theft from Vehicle,2019,7,6,1,50,23XX CAMBRIDGE ST,Grandview-Woodland,495828.73,5459313.73
Theft of Bicycle,2019,4,28,18,0,11XX SEYMOUR ST,Central Business District,490942.77,5458256.38
Theft from Vehicle,2019,3,6,21,0,45XX W 9TH AVE,West Point Grey,484782.03,5456899.79
Theft of Bicycle,2019,1,5,14,50,11XX SEYMOUR ST,Central Business District,490942.77,5458256.38
Theft from Vehicle,2019,6,24,20,0,5XX BURRARD ST,Central Business District,491429.14,5459314.2
Theft from Vehicle,2019,6,12,21,30,5XX BURRARD ST,Central Business District,491429.14,5459314.2
Theft from Vehicle,2019,4,21,18,0,5XX BURRARD ST,Central Business District,491429.14,5459314.2
Theft of Bicycle,2019,5,2,9,0,11XX ROSSLAND ST,Hastings-Sunrise,496691.61,5458025.59
Mischief,2019,1,9,16,50,2XX E CORDOVA ST,Strathcona,492850.49,5458843.84
Mischief,2019,2,6,16,3,2XX E CORDOVA ST,Strathcona,492850.49,5458843.84
Theft from Vehicle,2019,6,14,22,45,23XX CAMBIE ST,Mount Pleasant,491656.52,5456908.85
Mischief,2019,5,5,1,54,2XX E CORDOVA ST,Strathcona,492850.49,5458843.84
Mischief,2019,4,27,12,44,2XX E CORDOVA ST,Strathcona,492850.49,5458843.84
Theft from Vehicle,2019,3,7,10,0,5XX BURRARD ST,Central Business District,491418.35,5459316.48
Theft from Vehicle,2019,6,25,16,35,5XX BURRARD ST,Central Business District,491418.07,5459303.48
Theft from Vehicle,2019,6,20,12,15,5XX BURRARD ST,Central Business District,491418.07,5459303.48
Theft from Vehicle,2019,4,26,8,45,5XX BURRARD ST,Central Business District,491418.07,5459303.48
Theft of Bicycle,2019,6,21,17,15,11XX RICHARDS ST,Central Business District,490979.67,5458144.87
Mischief,2019,1,2,20,0,COMMERCIAL DR / E 2ND AVE,Grandview-Woodland,494931.36,5457329.03
Mischief,2019,4,19,15,55,COMMERCIAL DR / E 1ST AVE,Grandview-Woodland,494931.32,5457427.47
Mischief,2019,3,10,6,9,COMMERCIAL DR / E 1ST AVE,Grandview-Woodland,494931.32,5457427.47
Break and Enter Commercial,2019,4,21,11,3,6XX MOBERLY RD,Fairview,491448.9,5457285.28
Theft from Vehicle,2019,2,28,8,0,23XX BURQUITLAM DR,Victoria-Fraserview,495805.56,5450774.85
Mischief,2019,1,25,19,40,2XX E GEORGIA ST,Strathcona,492760.3,5458423.57
Other Theft,2019,3,8,16,6,7XX GRANVILLE ST,Central Business District,491396.06,5458846.22
Offence Against a Person,2019,4,30,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft from Vehicle,2019,6,4,8,0,5XX BURRARD ST,Central Business District,491414.2,5459312.46
Other Theft,2019,2,18,18,30,11XX ROBSON ST,West End,490907.55,5459120.92
Theft of Vehicle,2019,6,20,20,0,14XX E 4TH AVE,Grandview-Woodland,494572.16,5457133.48
Mischief,2019,3,13,17,0,78XX ANGUS DR,Kerrisdale,489184.13,5451283.91
Theft from Vehicle,2019,5,14,19,0,23XX BURQUITLAM DR,Victoria-Fraserview,495667.88,5450758.58
Mischief,2019,7,18,23,59,COMMERCIAL DR / E 1ST AVE,Grandview-Woodland,494931.32,5457427.47
Mischief,2019,6,16,11,40,2XX E GEORGIA ST,Strathcona,492764.39,5458432.62
Theft from Vehicle,2019,3,6,21,30,6XX E GEORGIA ST,Strathcona,493393.17,5458414.97
Theft from Vehicle,2019,7,4,17,30,45XX WELWYN ST,Kensington-Cedar Cottage,494908.85,5454641.8
Offence Against a Person,2019,6,16,,,OFFSET TO PROTECT PRIVACY,,0,0
Offence Against a Person,2019,3,10,,,OFFSET TO PROTECT PRIVACY,,0,0
Break and Enter Residential/Other,2019,4,12,6,19,13XX E 7TH AVE,Grandview-Woodland,494467.1,5456826.33
Break and Enter Residential/Other,2019,2,9,4,38,17XX E 55TH AVE,Victoria-Fraserview,494873.97,5451913.75
Break and Enter Residential/Other,2019,4,16,11,0,6XX E 23RD AVE,Riley Park,493342.73,5455270.3
Theft from Vehicle,2019,1,29,4,0,6XX E GEORGIA ST,Strathcona,493393.17,5458414.97
Break and Enter Residential/Other,2019,1,6,13,27,6XX E 54TH AVE,Sunset,493292.51,5452009.43
Offence Against a Person,2019,6,11,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft from Vehicle,2019,2,7,21,0,66XX BROOKS ST,Killarney,497436.23,5452197.8
Break and Enter Residential/Other,2019,5,24,22,0,17XX E 4TH AVE,Grandview-Woodland,495000.46,5457144.48
Break and Enter Commercial,2019,4,9,19,30,6XX MARKET HILL,Fairview,491309.29,5457173.52
Break and Enter Residential/Other,2019,7,7,6,54,13XX E 62ND AVE,Sunset,494274.76,5451228.16
Theft of Vehicle,2019,4,9,23,38,34XX E 3RD AVE,Hastings-Sunrise,497791.73,5457194.51
Theft from Vehicle,2019,7,17,22,0,75XX CRESSWELL CRT,Killarney,498105.54,5451438.12
Theft from Vehicle,2019,4,20,21,0,6XX RICHARDS ST,Central Business District,491642.15,5458824.63
Theft from Vehicle,2019,2,2,6,1,6XX RICHARDS ST,Central Business District,491603.33,5458785.3
Mischief,2019,6,14,2,4,SEYMOUR ST / W HASTINGS ST,Central Business District,491792.62,5459107.6
Theft from Vehicle,2019,3,11,0,0,23XX BOUNDARY RD,Renfrew-Collingwood,498269.68,5456845.14
Theft from Vehicle,2019,5,27,23,17,6XX E GEORGIA ST,Strathcona,493392.9,5458405.83
Theft of Bicycle,2019,6,2,16,0,34XX CROWLEY DR,Renfrew-Collingwood,497691.05,5453819.53
Offence Against a Person,2019,2,8,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft of Bicycle,2019,2,22,18,0,34XX COPELAND AVE,Killarney,497914.29,5451386.99
Theft from Vehicle,2019,6,29,10,30,23XX BOUNDARY RD,Renfrew-Collingwood,498269.63,5456841.19
Break and Enter Residential/Other,2019,3,15,9,0,19XX FERNDALE ST,Grandview-Woodland,495268.61,5458552.73
Break and Enter Residential/Other,2019,7,3,4,59,6XX E GEORGIA ST,Strathcona,493396.4,5458414.88
Break and Enter Residential/Other,2019,6,16,1,30,6XX E PENDER ST,Strathcona,493371.36,5458616.7
Break and Enter Commercial,2019,6,5,7,14,6XX MAIN ST,Strathcona,492749.14,5458480.11
Other Theft,2019,7,5,10,57,1XX WATER ST,Central Business District,492231.95,5459033.45
Break and Enter Residential/Other,2019,3,30,10,55,6XX FAIRCHILD RD,Oakridge,491284.44,5453101.23
Theft of Bicycle,2019,3,16,11,0,60XX FRASER ST,Sunset,493409.01,5453025.53
Theft of Bicycle,2019,6,18,20,40,E PENDER ST / MAIN ST,Strathcona,492748.76,5458629.98
Theft of Bicycle,2019,7,6,10,5,E PENDER ST / MAIN ST,Strathcona,492748.76,5458629.98
Break and Enter Commercial,2019,5,10,19,30,6XX KINGSWAY AVE,Mount Pleasant,493382.55,5456045.97
Mischief,2019,7,8,0,17,2XX E GEORGIA ST,Strathcona,492764.39,5458432.62
Break and Enter Residential/Other,2019,1,19,17,30,6XX GORE AVE,Strathcona,492932.15,5458461.28
Theft from Vehicle,2019,2,1,18,0,6XX RICHARDS ST,Central Business District,491603.33,5458785.3
Theft from Vehicle,2019,3,1,21,0,6XX RICHARDS ST,Central Business District,491630.02,5458812.34
Theft of Bicycle,2019,4,4,2,58,34XX ASCOT PL,Renfrew-Collingwood,497631.1,5454010.29
Theft of Bicycle,2019,4,28,17,10,E PENDER ST / PRINCESS AVE,Strathcona,493343.28,5458612.69
Mischief,2019,6,23,4,41,2XX E GEORGIA ST,Strathcona,492767.43,5458423.41
Mischief,2019,1,31,18,14,2XX E GEORGIA ST,Strathcona,492855.14,5458430.58
Break and Enter Residential/Other,2019,3,7,20,30,32XX ADANAC ST,Hastings-Sunrise,497549.55,5458294.89
Break and Enter Residential/Other,2019,4,13,3,28,6XX JACKSON AVE,Strathcona,493191.64,5458428.86
Other Theft,2019,2,7,16,0,6XX E HASTINGS ST,Strathcona,493365.46,5458723.95
Theft from Vehicle,2019,1,30,12,45,6XX RICHARDS ST,Central Business District,491603.33,5458785.3
Theft of Bicycle,2019,3,27,0,30,34XX ADANAC ST,Hastings-Sunrise,497812.55,5458293.17
Break and Enter Commercial,2019,6,14,4,14,6XX HORNBY ST,Central Business District,491336.64,5459071.1
Break and Enter Commercial,2019,7,14,6,14,6XX HORNBY ST,Central Business District,491334.2,5459068.67
Break and Enter Residential/Other,2019,6,1,15,45,6XX LAKEWOOD DR,Grandview-Woodland,495504.51,5458439.06
Break and Enter Residential/Other,2019,4,26,23,0,32XX E 16TH AVE,Renfrew-Collingwood,497475.84,5455871.75
Mischief,2019,5,19,19,45,COMMERCIAL DR / E 12TH AVE,Kensington-Cedar Cottage,494917.83,5456315.97
Break and Enter Residential/Other,2019,2,26,20,0,6XX PIPELINE RD,Stanley Park,490125.88,5460848.19
Theft of Bicycle,2019,6,11,9,30,33XX W BROADWAY AVE,Kitsilano,486924.26,5456853.99
Theft of Bicycle,2019,5,15,8,5,EAST BLVD / W 65TH AVE,Marpole,489361.41,5451072.49
Break and Enter Residential/Other,2019,5,23,9,46,6XX SEMLIN DR,Grandview-Woodland,495372.25,5458441.21
Theft from Vehicle,2019,2,15,0,45,7XX PACIFIC BLVD,Central Business District,492008.42,5458175.65
Theft from Vehicle,2019,6,14,18,0,23XX BONACCORD DR,Victoria-Fraserview,495652.57,5450858.41
Theft from Vehicle,2019,2,17,11,45,7XX PACIFIC BLVD,Central Business District,492008.42,5458175.65
Theft from Vehicle,2019,2,25,8,30,7XX PACIFIC BLVD,Central Business District,492008.42,5458175.65
Theft from Vehicle,2019,3,21,21,0,7XX PACIFIC BLVD,Central Business District,492008.42,5458175.65
Theft from Vehicle,2019,3,31,16,57,7XX PACIFIC BLVD,Central Business District,492008.42,5458175.65
Theft from Vehicle,2019,4,29,18,0,7XX PACIFIC BLVD,Central Business District,492008.42,5458175.65
Theft from Vehicle,2019,5,9,12,55,23XX ASH ST,Fairview,491459.95,5456921.98
Theft from Vehicle,2019,5,15,7,0,7XX PACIFIC BLVD,Central Business District,492008.42,5458175.65
Theft from Vehicle,2019,5,29,14,0,7XX PACIFIC BLVD,Central Business District,492033,5458201
Theft from Vehicle,2019,6,19,20,0,7XX PACIFIC BLVD,Central Business District,492033,5458201
Theft from Vehicle,2019,7,6,15,15,7XX PACIFIC BLVD,Central Business District,492033,5458201
Theft from Vehicle,2019,3,8,23,0,23XX ASH ST,Fairview,491450.46,5456899.84
Break and Enter Residential/Other,2019,2,28,9,0,32XX E 17TH AVE,Renfrew-Collingwood,497355.42,5455771.77
Mischief,2019,5,2,9,58,77XX FRASER ST,Sunset,493363.48,5451286.37
Mischief,2019,4,25,18,0,77XX FRASER ST,Sunset,493363.48,5451286.37
Mischief,2019,5,26,9,20,2XX E HASTINGS ST,Strathcona,492757.76,5458732.61
Mischief,2019,3,14,11,20,2XX E HASTINGS ST,Strathcona,492814.37,5458740.34
Theft from Vehicle,2019,7,15,19,0,5XX BURRARD ST,Central Business District,491374.33,5459261.11
Theft from Vehicle,2019,3,13,14,30,23XX ALDER ST,Fairview,490453.26,5456947.76
Theft from Vehicle,2019,6,24,3,22,5XX BURRARD ST,Central Business District,491374.33,5459261.11
Other Theft,2019,3,15,10,45,11XX ROBSON ST,West End,490897.9,5459117.64
Other Theft,2019,1,17,10,19,11XX ROBSON ST,West End,490897.9,5459117.64
Break and Enter Residential/Other,2019,5,2,14,12,1XX KEEFER ST,Central Business District,492725.41,5458526.16
Break and Enter Residential/Other,2019,2,17,13,10,32XX E 18TH AVE,Renfrew-Collingwood,497381.28,5455697.71
Mischief,2019,3,12,20,49,2XX E HASTINGS ST,Strathcona,492815.22,5458740.32
Theft of Vehicle,2019,5,31,21,30,34XX E HASTINGS ST,Hastings-Sunrise,497822.33,5458705.23
Mischief,2019,4,4,16,19,2XX E HASTINGS ST,Strathcona,492847.01,5458739.52
Offence Against a Person,2019,5,19,,,OFFSET TO PROTECT PRIVACY,,0,0
Mischief,2019,6,1,16,36,2XX E PENDER ST,Strathcona,492757.33,5458625.15
Mischief,2019,6,25,20,30,2XX E PENDER ST,Strathcona,492757.33,5458625.15
Theft of Vehicle,2019,3,5,17,0,34XX E PENDER ST,Hastings-Sunrise,497882.53,5458602.26
Theft from Vehicle,2019,5,14,17,0,46XX BLENHEIM ST,Dunbar-Southlands,486994.43,5454647.66
Break and Enter Commercial,2019,4,14,23,27,13XX SEYMOUR ST,Central Business District,490764.33,5458062.35
Break and Enter Commercial,2019,1,26,18,56,13XX SEYMOUR ST,Central Business District,490764.33,5458062.35
Break and Enter Commercial,2019,1,2,0,53,13XX SEYMOUR ST,Central Business District,490764.33,5458062.35
Break and Enter Residential/Other,2019,1,30,9,14,6XX W 10TH AVE,Fairview,491440.56,5456615.21
Theft from Vehicle,2019,7,7,18,0,6XX E GEORGIA ST,Strathcona,493341.41,5458407.36
Theft from Vehicle,2019,4,19,14,50,6XX RICHARDS ST,Central Business District,491619.55,5458788.71
Offence Against a Person,2019,3,1,,,OFFSET TO PROTECT PRIVACY,,0,0
Break and Enter Residential/Other,2019,5,20,15,0,6XX W 23RD AVE,South Cambie,491370.41,5455331.13
Theft of Vehicle,2019,5,22,7,23,14XX E KENT AVE N,Victoria-Fraserview,494388.97,5450730.82
Theft of Bicycle,2019,4,16,19,25,EXPO BLVD / SMITHE ST,Central Business District,491653.65,5458119.71
Mischief,2019,6,29,15,0,2XX E PENDER ST,Strathcona,492757.33,5458625.15
Mischief,2019,1,25,18,0,2XX E PENDER ST,Strathcona,492790.65,5458624.14
Break and Enter Residential/Other,2019,3,14,10,37,6XX W 23RD AVE,South Cambie,491378.67,5455330.87
Mischief,2019,4,6,16,11,COLUMBIA ST / W BROADWAY AVE,Mount Pleasant,492034.32,5456712.02
Break and Enter Commercial,2019,5,16,4,20,6XX GRANVILLE ST,Central Business District,491445.91,5458896.41
Break and Enter Commercial,2019,5,15,5,11,6XX GRANVILLE ST,Central Business District,491445.91,5458896.41
Break and Enter Commercial,2019,5,13,5,0,13XX SEYMOUR ST,Central Business District,490731.47,5458023.83
Break and Enter Commercial,2019,3,12,4,55,13XX SEYMOUR ST,Central Business District,490698.75,5457992.9
Mischief,2019,7,16,20,49,2XX E PENDER ST,Strathcona,492850.12,5458622.33
Theft of Vehicle,2019,6,1,17,30,14XX E KING EDWARD AVE,Kensington-Cedar Cottage,494612.11,5455079.11
Mischief,2019,4,25,17,7,2XX E WOODSTOCK AVE,Riley Park,492681.98,5453421.56
Break and Enter Commercial,2019,3,16,21,30,6XX GRANVILLE ST,Central Business District,491445.91,5458896.41
Offence Against a Person,2019,4,22,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft from Vehicle,2019,1,2,19,30,3XX E 13TH AVE,Mount Pleasant,492848.84,5456279.06
Mischief,2019,2,3,10,15,2XX GORE AVE,Strathcona,492889.98,5458926.42
Break and Enter Commercial,2019,2,1,2,0,13XX ROLSTON ST,Central Business District,490735.29,5458092.44
Theft of Bicycle,2019,6,11,9,28,5XX W HASTINGS ST,Central Business District,491852.34,5459054.23
Theft of Bicycle,2019,2,1,10,0,ARBUTUS ST / W 12TH AVE,Kitsilano,488863.38,5456482.22
Theft from Vehicle,2019,1,26,7,50,22XX YORK AVE,Kitsilano,488718.59,5457665.96
Offence Against a Person,2019,3,24,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft of Bicycle,2019,5,17,12,39,5XX W HASTINGS ST,Central Business District,491852.34,5459054.23
Theft from Vehicle,2019,1,25,6,10,6XX RICHARDS ST,Central Business District,491603.33,5458785.3
Offence Against a Person,2019,6,11,,,OFFSET TO PROTECT PRIVACY,,0,0
Mischief,2019,2,28,10,42,2XX GRANVILLE ST,Central Business District,491833.57,5459286.88
Offence Against a Person,2019,3,24,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft from Vehicle,2019,1,17,20,30,6XX E CORDOVA ST,Strathcona,493398.52,5458827.26
Mischief,2019,5,4,12,0,2XX GRANVILLE ST,Central Business District,491834.36,5459287.67
Theft from Vehicle,2019,5,12,14,0,8XX LAGOON DR,West End,489934.71,5460080.38
Theft of Vehicle,2019,2,25,19,15,34XX GLEN DR,Kensington-Cedar Cottage,494055.22,5455748.31
Offence Against a Person,2019,7,6,,,OFFSET TO PROTECT PRIVACY,,0,0
Mischief,2019,5,10,19,0,2XX GRANVILLE ST,Central Business District,491834.36,5459287.67
